user_id;nb_emprunts_total;duree_moy_emprunt;score_lecture_moy;score_lecture_max;nb_sections_lues;section_principale
c602e6110cd0;1;28;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
c7a8178abd12;1;14;0,525;0,525;1;COMPTABILITÉ SECONDAIRE
c8ef84aef00d;2;14;0,55;0,575;2;ETUDES DES LANGUES
c8ff710671a9;5;14;0,575;0,6;3;BANDES DESSINÉES
cae01c1e5663;1;14;0,525;0,525;1;LITTÉRATURE
cb82d86e1166;3;14;0,5417;0,575;2;UMATHEMATIQUES FONDAMENTALES
cf16edd0b850;1;14;0,525;0,525;1;FORMATION TECHNIQUE ET PROFESSIONNELLE
d1d51fc9691a;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
d2413f1914c9;3;14;0,5417;0,575;2;DÉVELOPPEMENT PERSONNEL
d361b6e684b7;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
d69ad0052789;7;14;0,525;0,525;1;LITTÉRATURE
d8cad1887bfd;2;14;0,55;0,575;2;SCIENCES DE LA VIE ET DE LA TERRE
dfcd1e50cf8c;2;17,5;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
e05ed4788a3b;1;28;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
e45b6c062f80;2;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
e5020b3b3e03;1;14;0,525;0,525;1;OEUVRES LITTÉRAIRES AU PROGRAMME
ebec8e02e206;1;14;0,525;0,525;1;LITTÉRATURE
ed1342083d70;4;14;0,5625;0,575;4;BANDES DESSINÉES
eed031e91880;1;14;0,525;0,525;1;LITTÉRATURE
eedac35a43c8;1;14;0,525;0,525;1;FORMATION TECHNIQUE ET PROFESSIONNELLE
eedeac5aecbb;2;14;0,525;0,525;1;OEUVRES LITTÉRAIRES AU PROGRAMME
f3c557279141;3;14;0,5583;0,575;3;MATHÉMATIQUES SECONDAIRE
f4abf406087a;1;14;0,525;0,525;1;CULTURE GÉNÉRALE
f57a76047514;2;14;0,55;0,575;2;OEUVRES LITTÉRAIRES AU PROGRAMME
f6aabbb25501;2;14;0,6;0,6;1;ETUDES DES LANGUES
fddab18b54c1;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
fddb7cc08b01;3;14;0,5417;0,575;2;OEUVRES LITTÉRAIRES AU PROGRAMME
